author,designation,interests
Himanshu,"Faculty, JNU; Visiting Fellow, Centre de Sciences Humaines","Poverty, Inequality, Employment, Agriculture, Development Economics"
Aakar Patel,"NGO Former CEO, Amnesty International","Power, Geopolitics, Intolerance"
Yamini Aiyar,Thinktank Centre for Policy Research,"Public Finance, Social Policy, State Capacity, Federalism, Governance, Contemporary Politics"
Govind Bhattacharjee,"Officer Ex- Director General, Office of CAG of India; Visiting Faculty, Arun Jaitley National Institute of Financial Management; Former ","Public Policy, Public Sector Enterprises, Public Financial Management, Developmental Economics, Federal Studies, Geopolitics, Auditing and Accounting"
Richa Mishra,"Media Editor, Business Line",Renewable Energy
Hemant Kanakia,"Founder & President, Maker Bhawan Foundation",Research and Development
Harish Damodaran,"Thinktank Fellow, Centre for Policy Research","Rural Affairs, Farm Sector, Social History"
Arun Sinha,Media Journalist; Writer,"Rural, Divisive Politics"
Jacob Koshy,"Media Editor, The Hindu",Science
R Prasad,"Media Reporter, The Hindu",Science
Biju Dharmapalan,"Faculty, National Institute of Advanced Studies",Science Writing
Vasudevan Mukunth,"Media Editor, The Hindu",Science Writing
Priyali Prakash,"Media Staff-Writer, The Hindu","Science, International Explainers"
Kumar Chellappan,"Special Correspondent, Pioneer","Science, Kerala"
Debashis Basu,"Media Editor, moneylife.in; Trustee, Moneylife Foundation","SEBI, Capital & Money Markets, Banking"
Indrajit Hazra,Journalist; Novelist,Social Commentary
Manu Joseph,"Media Journalist, Novelist, Creator of Netflix series 'Decoupled'",Social Issues
Avijit Pathak,"Faculty (Sociology) -Ex, JNU","Sociology of Modernization, Social Theory, Sociology of Education"
Luv Puri,"Media Journalist, Author","South Asian Muslims, Kashmir, Pakistan"
Pramit Bhattacharya,Media Chennai-based journalist,"Statistics, Data, Economics, Public Policy"
Anil Sasi,Media Editor,"Supply Chain, Transport"
Uttam Gupta,Policy Analyst,"Sustainable Economic Development: Fertilizers, Oil & Gas, Power, Intellectual Property Rights, Agriculture, World Trade Organisation, Crop protection"
Arpita Mukherjee,"Faculty (Economics & Policy), ICRIER","Sustainable Trade & Investment, Retail, Logistics & Food Supply Chains, Nutrition, Trade Infrastructure, Economic Corridors & SEZs, Services, Start-Ups & Entrepreneurs, E-Commerce"
Jaspreet Bindra,"Managing Director and Founder, Tech Whisperer Ltd",Technology
Dave Lee,Media Columnist Bloomberg Opinion,Technology
Ajay Srivastava,"Officer Ex Indian Trade Service; Founder, Global Trade Research Initiative","Technology, Climate, Trade"
Rahul Matthan,"Partner, Trilegal; Podcast- ExMachina","Technology, Law, Society: Privacy, Map Regulation, Fintech, Encryption, Spectrum Regulation, E-Commerce, Sharing Economy, Biotech, Digital Content, Streaming Media"
Ziya Us Salam,Media Journalist; Author,Vedas-Quran
Zakia Soman,NGO Women's rights activist; Founding Members of Bharatiya Muslim Mahila Andolan,"Women, Gender"
Devina Sengupta,Media ,"Workplaces, Education"
